smiles,bsse
[H]Oc1c([H])c([H])c(/C([H])=N/c2c([H])c([H])c([H])c([H])c2O[H])c([H])c1[H],-0.121218
[H]Oc1c([H])c([H])c(/C([H])=N/c2c([H])c([H])c([H])c([H])c2O[H])c(O[H])c1[H],-0.119309
[H]Oc1c([H])c([H])c(/C([H])=N/c2c(C#N)nc([H])n2C([H])([H])[H])c(O[H])c1O[H],-0.074304
[H]Oc1c([H])c([H])c(/C([H])=N/N([H])C(=O)c2c([H])c([H])nc([H])c2[H])c([H])c1O[H],-0.142201
[H]Oc1c([H])c([H])c(/C([H])=N/N2C(=O)C([H])([H])SC2=S)c([H])c1OC([H])([H])[H],-0.062359
[H]Oc1c([H])c([H])c(/C([H])=N/n2c(C([H])([H])[H])nn([H])c2=O)c([H])c1O[H],-0.075619
[H]Oc1c([H])c([H])c(/C([H])=N/n2c(C3([H])C([H])([H])C3([H])[H])nn([H])c2=O)c([H])c1O[H],-0.047047
[H]Oc1c([H])c([H])c(/N=C(\[H])c2c([H])c([H])c(N(C([H])([H])[H])C([H])([H])[H])c([H])c2[H])c([H])c1[H],-0.019371
[H]Oc1c([H])c([H])c([C@@]2([H])Oc3c([H])c(O[H])c([H])c([H])c3C(=O)C2([H])[H])c([H])c1[H],-0.018093
[H]Oc1c([H])c([H])c([H])c(/C([H])=N/c2c([H])c([H])c([H])c([H])c2O[H])c1[H],-0.113285
[H]Oc1c([H])c([H])c([H])c([H])c1/C([H])=C(\[H])c1c([H])c(=O)c(O[H])c([H])n1[H],-0.199067
[H]Oc1c([H])c([H])c([H])c([H])c1/C([H])=C(\[H])c1c([H])c(=O)c(O[H])c([H])n1C([H])([H])[H],-0.149211
[H]Oc1c([H])c([H])c([H])c([H])c1/C([H])=C(\[H])c1oc([H])c(O[H])c(=O)c1[H],-0.158246
[H]Oc1c([H])c([H])c([H])c([H])c1/C([H])=C1/SC(=O)N([H])C1=O,-0.130529
[H]Oc1c([H])c([H])c([H])c([H])c1/C([H])=N/N1C(=O)C([H])([H])SC1=S,-0.32823
[H]Oc1c([H])c([H])c([H])c([H])c1/N=C(\[H])c1c([H])c([H])c([H])c([H])c1[H],-0.174582
[H]Oc1c([H])c([H])c([H])c([H])c1/N=C(\[H])c1c([H])c([H])c([H])c([H])c1F,-0.115378
[H]Oc1c([H])c([H])c([H])c([H])c1/N=C(\[H])c1c([H])c([H])c([H])c([H])c1O[H],-0.128365
[H]Oc1c([H])c([H])c([H])c([H])c1/N=C(\[H])c1c([H])c([H])c([H])c(F)c1[H],-0.056226
[H]Oc1c([H])c([H])c([H])c([H])c1/N=C(\[H])c1c([H])c([H])c([H])c(OC([H])([H])[H])c1[H],-0.14154
[H]Oc1c([H])c([H])c([H])c([H])c1/N=C(\[H])c1c([H])c([H])c(F)c([H])c1[H],-0.114567
[H]Oc1c([H])c([H])c([H])c([H])c1/N=C(\[H])c1c([H])c([H])c(N(C([H])([H])[H])C([H])([H])[H])c([H])c1[H],-0.114453
[H]Oc1c([H])c([H])c([H])c([H])c1/N=C(\[H])c1c([H])c([H])c(O[H])c(O[H])c1[H],-0.137693
[H]Oc1c([H])c([H])c([H])c([H])c1/N=C(\[H])c1c([H])c([H])c(OC([H])([H])[H])c([H])c1[H],-0.00286
[H]Oc1c([H])c([H])c([H])c([H])c1/N=C(\[H])c1c([H])c([H])c(OC([H])([H])[H])c(O[H])c1[H],-0.024051
[H]Oc1c([H])c([H])c([H])c([H])c1/N=C(\[H])c1c([H])c([H])c(OC([H])([H])[H])c(OC([H])([H])[H])c1[H],-0.02627
[H]Oc1c([H])c([H])c([H])c([H])c1O[H],-0.045136
[H]Oc1c([H])c([H])c([H])c([H])c1OC([H])([H])[H],-0.034939
[H]Oc1c([H])c([H])c([H])c(C([H])([H])N([H])c2c([H])c([H])c([H])c([H])c2O[H])c1[H],-0.002509
[H]Oc1c([H])c([H])c([H])c(C(=O)/C([H])=C(\[H])c2c([H])c([H])c(OC([H])([H])[H])c([H])c2[H])c1[H],-0.166819
[H]Oc1c([H])c([H])c([H])c(C2(C([H])([H])[H])OC([H])([H])C(=O)N([H])N2[H])c1[H],-0.003624
[H]Oc1c([H])c([H])c([H])c(O[H])c1O[H],-0.048344
[H]Oc1c([H])c([H])c([H])c2c(=O)c3c([H])c([H])c([H])c([H])c3n([H])c12,-0.096835
[H]Oc1c([H])c([H])c([H])c2c1C(=O)c1c(O[H])c([H])c([H])c([H])c1C2([H])[H],-0.138105
[H]Oc1c([H])c([H])c(C([H])([H])C([H])([H])N([H])C([H])([H])c2c([H])c([H])c(O[H])c(O[H])c2[H])c([H])c1[H],0.00423
[H]Oc1c([H])c([H])c(C([H])([H])C([H])([H])O[H])c([H])c1[H],0.009402
[H]Oc1c([H])c([H])c(C([H])([H])C([H])([H])O[H])c([H])c1O[H],-0.007764
[H]Oc1c([H])c([H])c(C([H])([H])C([H])([H])OC(=O)C([H])([H])[H])c([H])c1O[H],-0.008652
[H]Oc1c([H])c([H])c(C([H])([H])C([H])([H])OC(=O)C([H])([H])C([H])([H])[H])c([H])c1O[H],-0.005262
[H]Oc1c([H])c([H])c(C([H])([H])C([H])([H])OC(=O)C([H])([H])C([H])([H])C([H])([H])[H])c([H])c1O[H],0.000915
[H]Oc1c([H])c([H])c(C([H])([H])C([H])([H])OC(=O)C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H])c([H])c1O[H],0.009637
[H]Oc1c([H])c([H])c(C([H])([H])C([H])=C([H])[H])c([H])c1OC([H])([H])[H],0.001301
[H]Oc1c([H])c([H])c(C([H])([H])C(=O)c2c([H])c([H])c(O[H])c([H])c2O[H])c([H])c1[H],-0.087523
[H]Oc1c([H])c([H])c(C([H])([H])C(=O)c2c([H])c([H])c(O[H])c(O[H])c2O[H])c([H])c1[H],-0.109642
[H]Oc1c([H])c([H])c(C([H])([H])C(=O)c2c([H])c(O[H])c(O[H])c([H])c2O[H])c([H])c1[H],-0.11301
[H]Oc1c([H])c([H])c(C([H])([H])C(=O)c2c(O[H])c([H])c(O[H])c([H])c2O[H])c([H])c1[H],-0.086589
[H]Oc1c([H])c([H])c(C([H])([H])N([H])c2c([H])c([H])c([H])c([H])c2O[H])c([H])c1[H],-0.000996
[H]Oc1c([H])c([H])c(C([H])([H])N([H])c2c([H])c([H])c([H])c([H])c2O[H])c([H])c1O[H],-0.007563
[H]Oc1c([H])c([H])c(C([H])([H])N2C([H])([H])C([H])([H])C([H])([H])C([H])([H])C2([H])[H])c([H])c1OC([H])([H])[H],-0.00033
[H]Oc1c([H])c([H])c(C([H])(c2c([H])c([H])c([H])c([H])c2O[H])C([H])([H])C([H])([H])[H])c([H])c1OC([H])([H])[H],0.002453
[H]Oc1c([H])c([H])c(C([H])(c2c([H])c([H])c([H])c(C([H])(C([H])([H])[H])C([H])([H])[H])c2O[H])C([H])([H])C([H])([H])[H])c([H])c1OC([H])([H])[H],-0.053094
[H]Oc1c([H])c([H])c(C([H])(c2c([H])c([H])c([H])c(O[H])c2O[H])C([H])([H])C([H])([H])[H])c([H])c1OC([H])([H])[H],-0.042089
[H]Oc1c([H])c([H])c(C([H])(c2c([H])c([H])c([H])c(OC([H])([H])C([H])([H])[H])c2O[H])C([H])([H])C([H])([H])[H])c([H])c1OC([H])([H])[H],-0.050113
